"Number","Time(s)","Length(s)","Distance(s)","Date/Time","Time","Hexdata","Type","Type/SEQ"
"127","184.139","0.00562467","0.32489","04/25/23 08:58:02 +139082000 ns","184.1391","01 1C 02 00 E1","=> Static status query","1C"
"128","184.159","0.00218667","0.0138873","04/25/23 08:58:02 +158594000 ns","184.1586","01 06","ACK <=",""
"129","184.17","0.0106247","0.00875033","04/25/23 08:58:02 +169531000 ns","184.1695","01 1E 05 03 08 31 0C 03 E9","<= Static status reply","1E"
"130","184.212","0.00218767","0.0316273","04/25/23 08:58:02 +211783000 ns","184.2118","01 06","ACK =>",""
"131","184.262","0.00562467","0.0483323","04/25/23 08:58:02 +262303000 ns","184.2623","01 2D 02 6F BF","=> Event 1 Status query","2D"
"132","184.275","0.00218767","0.00701133","04/25/23 08:58:02 +274939000 ns","184.2749","01 06","ACK <=",""
"133","184.283","0.00697867","0.00635433","04/25/23 08:58:02 +283481000 ns","184.2835","01 2F 03 18 00 CB","<= Event 1 Status reply","2F"
"134","184.324","0.00218767","0.0334043","04/25/23 08:58:02 +323864000 ns","184.3239","01 06","ACK =>",""
"135","184.677","0.00562467","0.350723","04/25/23 08:58:02 +676775000 ns","184.6768","01 1E 02 00 E3","=> Static status query","1E"
"136","184.69","0.00218767","0.00802733","04/25/23 08:58:02 +690427000 ns","184.6904","01 06","ACK <=",""
"137","184.7","0.0104167","0.00760333","04/25/23 08:58:02 +700218000 ns","184.7002","01 10 05 03 08 31 0C 03 E7","<= Static status reply","10"
"138","184.74","0.00218767","0.0292643","04/25/23 08:58:02 +739899000 ns","184.7399","01 06","ACK =>",""
"139","184.815","0.00562567","0.0733313","04/25/23 08:58:02 +815418000 ns","184.8154","01 2F 02 6F BD","=> Event 1 Status query","2F"
"140","184.834","0.00218767","0.0127073","04/25/23 08:58:02 +833751000 ns","184.8338","01 06","ACK <=",""
"141","184.844","0.00697267","0.00833333","04/25/23 08:58:02 +844272000 ns","184.8443","01 21 03 18 00 C5","<= Event 1 Status reply","21"
"142","184.884","0.00218767","0.0324013","04/25/23 08:58:02 +883646000 ns","184.8837","01 06","ACK =>",""
"143","185.261","0.00562567","0.375299","04/25/23 08:58:03 +261133000 ns","185.2611","01 10 02 00 ED","=> Static status query","10"
"144","185.274","0.00218767","0.00747333","04/25/23 08:58:03 +274232000 ns","185.2742","01 06","ACK <=",""
"145","185.283","0.0105207","0.00677033","04/25/23 08:58:03 +283190000 ns","185.2832","01 12 05 03 08 31 0C 03 E5","<= Static status reply","12"
"146","185.411","0.00562467","0.116795","04/25/23 08:58:03 +410506000 ns","185.4105","01 21 02 6F B3","=> Event 1 Status query","21"
"147","185.429","0.00218767","0.0125713","04/25/23 08:58:03 +428702000 ns","185.4287","01 06","ACK <=",""
"148","185.502","0.0102087","0.0708253","04/25/23 08:58:03 +501715000 ns","185.5017","01 12 05 03 08 31 0C 03 E5","<= Static status reply","12"
"149","185.54","0.00218767","0.0281633","04/25/23 08:58:03 +540087000 ns","185.5401","01 06","ACK =>",""
"150","185.552","0.00687567","0.00933533","04/25/23 08:58:03 +551610000 ns","185.5516","01 23 03 18 00 C7","<= Event 1 Status reply","23"
"151","185.588","0.00218767","0.0295173","04/25/23 08:58:03 +588003000 ns","185.588","01 06","ACK =>",""
"152","185.815","0.00561867","0.224579","04/25/23 08:58:03 +814770000 ns","185.8148","01 12 02 00 EF","=> Static status query","12"
"153","185.831","0.00218767","0.0110933","04/25/23 08:58:03 +831482000 ns","185.8315","01 06","ACK <=",""
"154","185.841","0.0104167","0.00760333","04/25/23 08:58:03 +841273000 ns","185.8413","01 14 05 03 08 31 0C 03 E3","<= Static status reply","14"
"155","185.97","0.00562467","0.118592","04/25/23 08:58:03 +970282000 ns","185.9703","01 23 02 6F B1","=> Event 1 Status query","23"
"156","185.983","0.00218767","0.00692033","04/25/23 08:58:03 +982827000 ns","185.9828","01 06","ACK <=",""
"157","186.049","0.0106247","0.0644713","04/25/23 08:58:04 +49486000 ns","186.0495","01 14 05 03 08 31 0C 03 E3","<= Static status reply","14"
"158","186.178","0.00218767","0.118188","04/25/23 08:58:04 +178299000 ns","186.1783","01 06","ACK =>",""
"159","186.183","0.00687467","0.00211533","04/25/23 08:58:04 +182602000 ns","186.1826","01 25 03 18 00 C1","<= Event 1 Status reply","25"
"160","186.202","0.00218767","0.0128843","04/25/23 08:58:04 +202361000 ns","186.2024","01 06","ACK =>",""
"161","186.228","0.00218767","0.0230203","04/25/23 08:58:04 +227569000 ns","186.2276","01 06","ACK =>",""
"162","186.354","0.00562567","0.123851","04/25/23 08:58:04 +353608000 ns","186.3536","01 14 02 00 E9","=> Static status query","14"
"163","186.367","0.00218767","0.00731033","04/25/23 08:58:04 +366544000 ns","186.3665","01 06","ACK <=",""
